time=58293ms


BODY: left=0,top=0,right=1423,bottom=8621; DOM="[object HTMLBodyElement]"
DIV: left=242,top=830,right=1202,bottom=1012; DOM="[object HTMLDivElement]"

DIV: left=242,top=830,right=1202,bottom=1012; DOM="[object HTMLDivElement]"

DIV: left=424,top=830,right=922,bottom=1012; DOM="[object HTMLDivElement]"

DIV: left=440,top=830,right=905,bottom=1006; DOM="[object HTMLDivElement]"

H2: left=440,top=830,right=905,bottom=870; DOM="[object HTMLHeadingElement]"

A: left=440,top=831,right=895,bottom=869; DOM="http://www.alibaba.com/product-detail/2016-new-technology-yag-laser-skin_60385450893.html?s=p"

DIV: left=440,top=886,right=905,bottom=1006; DOM="[object HTMLDivElement]"

DIV: left=440,top=886,right=604,bottom=955; DOM="[object HTMLDivElement]"

DIV: left=440,top=886,right=584,bottom=909; DOM="[object HTMLDivElement]"

DIV: left=440,top=921,right=584,bottom=944; DOM="[object HTMLDivElement]"

DIV: left=604,top=886,right=905,bottom=1006; DOM="[object HTMLDivElement]"

DIV: left=604,top=886,right=905,bottom=906; DOM="[object HTMLDivElement]"

DIV: left=604,top=906,right=905,bottom=926; DOM="[object HTMLDivElement]"

DIV: left=604,top=926,right=905,bottom=946; DOM="[object HTMLDivElement]"

DIV: left=604,top=946,right=905,bottom=966; DOM="[object HTMLDivElement]"

DIV: left=604,top=966,right=905,bottom=986; DOM="[object HTMLDivElement]"

DIV: left=604,top=986,right=905,bottom=1006; DOM="[object HTMLDivElement]"

DIV: left=242,top=830,right=424,bottom=1012; DOM="[object HTMLDivElement]"

DIV: left=242,top=830,right=424,bottom=1012; DOM="[object HTMLDivElement]"

DIV: left=242,top=830,right=424,bottom=1012; DOM="[object HTMLDivElement]"

A: left=242,top=830,right=422,bottom=1010; DOM="http://www.alibaba.com/product-detail/2016-new-technology-yag-laser-skin_60385450893.html?s=p"

DIV: left=922,top=830,right=1202,bottom=946; DOM="[object HTMLDivElement]"

DIV: left=938,top=824,right=1202,bottom=946; DOM="[object HTMLDivElement]"

DIV: left=938,top=824,right=1202,bottom=848; DOM="[object HTMLDivElement]"

DIV: left=938,top=852,right=1202,bottom=870; DOM="[object HTMLDivElement]"

SPAN: left=1045,top=853,right=1172,bottom=871; DOM="[object HTMLSpanElement]"

DIV: left=938,top=875,right=1202,bottom=893; DOM="[object HTMLDivElement]"

DIV: left=938,top=875,right=1202,bottom=893; DOM="[object HTMLDivElement]"

UL: left=938,top=905,right=1202,bottom=947; DOM="[object HTMLUListElement]"

LI: left=938,top=905,right=1084,bottom=947; DOM="[object HTMLLIElement]"

DIV: left=938,top=905,right=1084,bottom=925; DOM="[object HTMLDivElement]"

LI: left=1094,top=905,right=1176,bottom=947; DOM="[object HTMLLIElement]"

DIV: left=242,top=1024,right=1202,bottom=1056; DOM="[object HTMLDivElement]"

DIV: left=242,top=1024,right=1202,bottom=1052; DOM="[object HTMLDivElement]"

DIV: left=242,top=1024,right=922,bottom=1052; DOM="[object HTMLDivElement]"

DIV: left=242,top=1024,right=906,bottom=1052; DOM="[object HTMLDivElement]"

A: left=242,top=1024,right=422,bottom=1052; DOM="javascript:;"

DIV: left=242,top=1024,right=422,bottom=1052; DOM="[object HTMLDivElement]"

LABEL: left=242,top=1024,right=422,bottom=1052; DOM="[object HTMLLabelElement]"

DIV: left=922,top=1024,right=1202,bottom=1056; DOM="[object HTMLDivElement]"

DIV: left=938,top=1024,right=1202,bottom=1056; DOM="[object HTMLDivElement]"

DIV: left=234,top=1069,right=1210,bottom=1320; DOM="[object HTMLDivElement]"

DIV: left=234,top=1069,right=1210,bottom=1307; DOM="[object HTMLDivElement]"

DIV: left=242,top=1081,right=1202,bottom=1263; DOM="[object HTMLDivElement]"

DIV: left=242,top=1081,right=1202,bottom=1263; DOM="[object HTMLDivElement]"

DIV: left=424,top=1081,right=922,bottom=1263; DOM="[object HTMLDivElement]"

DIV: left=440,top=1081,right=905,bottom=1257; DOM="[object HTMLDivElement]"

H2: left=440,top=1081,right=905,bottom=1121; DOM="[object HTMLHeadingElement]"

A: left=440,top=1082,right=849,bottom=1120; DOM="http://www.alibaba.com/product-detail/plastic-water-bottle-making-machine-equipment_60434912339.html?s=p"

DIV: left=440,top=1137,right=905,bottom=1257; DOM="[object HTMLDivElement]"

DIV: left=440,top=1137,right=604,bottom=1228; DOM="[object HTMLDivElement]"

DIV: left=440,top=1137,right=584,bottom=1182; DOM="[object HTMLDivElement]"

DIV: left=440,top=1194,right=584,bottom=1217; DOM="[object HTMLDivElement]"

DIV: left=604,top=1137,right=905,bottom=1257; DOM="[object HTMLDivElement]"

DIV: left=604,top=1137,right=905,bottom=1157; DOM="[object HTMLDivElement]"

DIV: left=604,top=1157,right=905,bottom=1177; DOM="[object HTMLDivElement]"

DIV: left=604,top=1177,right=905,bottom=1197; DOM="[object HTMLDivElement]"

DIV: left=604,top=1197,right=905,bottom=1217; DOM="[object HTMLDivElement]"

DIV: left=604,top=1217,right=905,bottom=1237; DOM="[object HTMLDivElement]"

DIV: left=604,top=1237,right=905,bottom=1257; DOM="[object HTMLDivElement]"

DIV: left=242,top=1081,right=424,bottom=1263; DOM="[object HTMLDivElement]"

DIV: left=242,top=1081,right=424,bottom=1263; DOM="[object HTMLDivElement]"

DIV: left=242,top=1081,right=424,bottom=1263; DOM="[object HTMLDivElement]"

A: left=242,top=1081,right=422,bottom=1261; DOM="http://www.alibaba.com/product-detail/plastic-water-bottle-making-machine-equipment_60434912339.html?s=p"

DIV: left=922,top=1081,right=1202,bottom=1197; DOM="[object HTMLDivElement]"

DIV: left=938,top=1075,right=1202,bottom=1197; DOM="[object HTMLDivElement]"

DIV: left=938,top=1075,right=1202,bottom=1099; DOM="[object HTMLDivElement]"

DIV: left=938,top=1103,right=1202,bottom=1121; DOM="[object HTMLDivElement]"

SPAN: left=1045,top=1104,right=1172,bottom=1122; DOM="[object HTMLSpanElement]"

DIV: left=938,top=1126,right=1202,bottom=1144; DOM="[object HTMLDivElement]"

DIV: left=938,top=1126,right=1202,bottom=1144; DOM="[object HTMLDivElement]"

UL: left=938,top=1156,right=1202,bottom=1198; DOM="[object HTMLUListElement]"

LI: left=938,top=1156,right=1078,bottom=1198; DOM="[object HTMLLIElement]"

DIV: left=938,top=1156,right=1078,bottom=1176; DOM="[object HTMLDivElement]"

DIV: left=242,top=1275,right=1202,bottom=1307; DOM="[object HTMLDivElement]"

DIV: left=242,top=1275,right=1202,bottom=1303; DOM="[object HTMLDivElement]"

DIV: left=242,top=1275,right=922,bottom=1303; DOM="[object HTMLDivElement]"

DIV: left=242,top=1275,right=906,bottom=1303; DOM="[object HTMLDivElement]"

A: left=242,top=1275,right=422,bottom=1303; DOM="javascript:;"

DIV: left=242,top=1275,right=422,bottom=1303; DOM="[object HTMLDivElement]"

LABEL: left=242,top=1275,right=422,bottom=1303; DOM="[object HTMLLabelElement]"

DIV: left=922,top=1275,right=1202,bottom=1307; DOM="[object HTMLDivElement]"

DIV: left=938,top=1275,right=1202,bottom=1307; DOM="[object HTMLDivElement]"

DIV: left=234,top=1320,right=1210,bottom=1571; DOM="[object HTMLDivElement]"

DIV: left=234,top=1320,right=1210,bottom=1558; DOM="[object HTMLDivElement]"

DIV: left=242,top=1332,right=1202,bottom=1514; DOM="[object HTMLDivElement]"

DIV: left=242,top=1332,right=1202,bottom=1514; DOM="[object HTMLDivElement]"

DIV: left=424,top=1332,right=922,bottom=1514; DOM="[object HTMLDivElement]"

DIV: left=440,top=1332,right=905,bottom=1508; DOM="[object HTMLDivElement]"

H2: left=440,top=1332,right=905,bottom=1372; DOM="[object HTMLHeadingElement]"

A: left=440,top=1333,right=874,bottom=1371; DOM="http://www.alibaba.com/product-detail/635nm-laser-weight-loss-machine-fat_1903037179.html?s=p"

DIV: left=440,top=1388,right=905,bottom=1508; DOM="[object HTMLDivElement]"

DIV: left=440,top=1388,right=604,bottom=1457; DOM="[object HTMLDivElement]"

DIV: left=440,top=1388,right=584,bottom=1411; DOM="[object HTMLDivElement]"

DIV: left=440,top=1423,right=584,bottom=1446; DOM="[object HTMLDivElement]"

DIV: left=604,top=1388,right=905,bottom=1508; DOM="[object HTMLDivElement]"

DIV: left=604,top=1388,right=905,bottom=1408; DOM="[object HTMLDivElement]"

DIV: left=604,top=1408,right=905,bottom=1428; DOM="[object HTMLDivElement]"

DIV: left=604,top=1428,right=905,bottom=1448; DOM="[object HTMLDivElement]"

