time=7305ms


BODY: left=0,top=0,right=1423,bottom=7490; DOM="[object HTMLBodyElement]"

LI: left=591,top=613,right=768,bottom=633; DOM="[object HTMLLIElement]"

SPAN: left=591,top=615,right=685,bottom=630; DOM="[object HTMLSpanElement]"

DIV: left=591,top=645,right=768,bottom=661; DOM="[object HTMLDivElement]"

DIV: left=351,top=769,right=576,bottom=994; DOM="[object HTMLDivElement]"

DIV: left=351,top=769,right=576,bottom=994; DOM="[object HTMLDivElement]"

DIV: left=351,top=769,right=578,bottom=996; DOM="[object HTMLDivElement]"

A: left=351,top=769,right=576,bottom=994; DOM="http://www.ebay.co.uk/itm/WORLD-OF-TANKS-Microsoft-Xbox-360-PAL-RPG-Action-Game-NEW-Sealed-/252679249338?hash=item3ad4db5dba:g:n2IAAOSwJ7RYTuao"

H3: left=591,top=767,right=1120,bottom=807; DOM="[object HTMLHeadingElement]"
UL: left=591,top=809,right=776,bottom=909; DOM="[object HTMLUListElement]"
UL: left=776,top=809,right=1091,bottom=859; DOM="[object HTMLUListElement]"

H3: left=591,top=767,right=1120,bottom=807; DOM="[object HTMLHeadingElement]"

UL: left=591,top=809,right=776,bottom=909; DOM="[object HTMLUListElement]"

LI: left=591,top=817,right=768,bottom=839; DOM="[object HTMLLIElement]"

LI: left=591,top=839,right=768,bottom=861; DOM="[object HTMLLIElement]"

SPAN: left=591,top=830,right=645,bottom=845; DOM="[object HTMLSpanElement]"

LI: left=591,top=861,right=768,bottom=881; DOM="[object HTMLLIElement]"

SPAN: left=591,top=863,right=692,bottom=878; DOM="[object HTMLSpanElement]"

DIV: left=591,top=893,right=768,bottom=909; DOM="[object HTMLDivElement]"

UL: left=776,top=809,right=1091,bottom=859; DOM="[object HTMLUListElement]"

LI: left=784,top=817,right=1092,bottom=850; DOM="[object HTMLLIElement]"

SPAN: left=789,top=822,right=907,bottom=845; DOM="[object HTMLSpanElement]"

DIV: left=351,top=1017,right=576,bottom=1242; DOM="[object HTMLDivElement]"

DIV: left=351,top=1017,right=576,bottom=1242; DOM="[object HTMLDivElement]"

DIV: left=351,top=1017,right=578,bottom=1244; DOM="[object HTMLDivElement]"

A: left=351,top=1017,right=576,bottom=1242; DOM="http://www.ebay.co.uk/itm/World-of-Simulators-Ultimate-Edition-GAME-NEW-/282137824094?hash=item41b0b98b5e:g:neEAAOSw-itXsnan"

H3: left=591,top=1015,right=1120,bottom=1035; DOM="[object HTMLHeadingElement]"
UL: left=591,top=1037,right=776,bottom=1160; DOM="[object HTMLUListElement]"
UL: left=776,top=1037,right=1091,bottom=1055; DOM="[object HTMLUListElement]"

H3: left=591,top=1015,right=1120,bottom=1035; DOM="[object HTMLHeadingElement]"

UL: left=591,top=1037,right=776,bottom=1160; DOM="[object HTMLUListElement]"

LI: left=591,top=1045,right=768,bottom=1067; DOM="[object HTMLLIElement]"

LI: left=591,top=1067,right=768,bottom=1089; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1058,right=645,bottom=1073; DOM="[object HTMLSpanElement]"

LI: left=591,top=1089,right=768,bottom=1109; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1091,right=685,bottom=1106; DOM="[object HTMLSpanElement]"

LI: left=591,top=1109,right=768,bottom=1144; DOM="[object HTMLLIElement]"

DIV: left=591,top=1121,right=768,bottom=1144; DOM="[object HTMLDivElement]"

DIV: left=591,top=1144,right=768,bottom=1160; DOM="[object HTMLDivElement]"

DIV: left=351,top=1265,right=576,bottom=1490; DOM="[object HTMLDivElement]"

DIV: left=351,top=1265,right=576,bottom=1490; DOM="[object HTMLDivElement]"

DIV: left=351,top=1265,right=578,bottom=1492; DOM="[object HTMLDivElement]"

A: left=351,top=1265,right=576,bottom=1490; DOM="http://www.ebay.co.uk/itm/Lego-Jurassic-World-Game-for-Xbox-One-Kids-NEW-SEALED-/361875177944?hash=item54417101d8:g:cugAAOSwYIxYB3%7E-"

H3: left=591,top=1263,right=1120,bottom=1283; DOM="[object HTMLHeadingElement]"
UL: left=591,top=1285,right=776,bottom=1392; DOM="[object HTMLUListElement]"
UL: left=776,top=1285,right=1091,bottom=1335; DOM="[object HTMLUListElement]"

H3: left=591,top=1263,right=1120,bottom=1283; DOM="[object HTMLHeadingElement]"

UL: left=591,top=1285,right=776,bottom=1392; DOM="[object HTMLUListElement]"

LI: left=591,top=1293,right=768,bottom=1315; DOM="[object HTMLLIElement]"

LI: left=591,top=1315,right=768,bottom=1337; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1306,right=645,bottom=1321; DOM="[object HTMLSpanElement]"

LI: left=591,top=1337,right=768,bottom=1357; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1339,right=685,bottom=1354; DOM="[object HTMLSpanElement]"

LI: left=591,top=1357,right=768,bottom=1392; DOM="[object HTMLLIElement]"

DIV: left=591,top=1369,right=768,bottom=1392; DOM="[object HTMLDivElement]"

UL: left=776,top=1285,right=1091,bottom=1335; DOM="[object HTMLUListElement]"

LI: left=784,top=1293,right=1092,bottom=1326; DOM="[object HTMLLIElement]"

SPAN: left=789,top=1298,right=907,bottom=1321; DOM="[object HTMLSpanElement]"

DIV: left=351,top=1513,right=576,bottom=1738; DOM="[object HTMLDivElement]"

DIV: left=351,top=1513,right=576,bottom=1738; DOM="[object HTMLDivElement]"

DIV: left=351,top=1513,right=578,bottom=1740; DOM="[object HTMLDivElement]"

A: left=351,top=1513,right=576,bottom=1738; DOM="http://www.ebay.co.uk/itm/Vanilla-World-of-Warcraft-Collectors-Edition-for-PC-2004-Code-Used-/122335215031?hash=item1c7bbf3db7:g:iwwAAOSwTglYkOVV"

H3: left=591,top=1511,right=1120,bottom=1531; DOM="[object HTMLHeadingElement]"
UL: left=591,top=1533,right=776,bottom=1622; DOM="[object HTMLUListElement]"
UL: left=776,top=1533,right=1091,bottom=1551; DOM="[object HTMLUListElement]"

H3: left=591,top=1511,right=1120,bottom=1531; DOM="[object HTMLHeadingElement]"

UL: left=591,top=1533,right=776,bottom=1622; DOM="[object HTMLUListElement]"

LI: left=591,top=1541,right=768,bottom=1563; DOM="[object HTMLLIElement]"

LI: left=591,top=1563,right=768,bottom=1590; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1554,right=661,bottom=1574; DOM="[object HTMLSpanElement]"

LI: left=591,top=1590,right=768,bottom=1610; DOM="[object HTMLLIElement]"

SPAN: left=591,top=1592,right=692,bottom=1607; DOM="[object HTMLSpanElement]"

